customer_id,sales_price,transaction_date
52078,492,2000-11-11
52283,501,2000-11-12
52498,957,2001-02-05
52559,4361,2001-01-20
52627,1181,2001-02-25
52849,4488,2001-02-04
52900,375,2001-02-08
52917,46,2000-11-18
52962,302,2001-02-11
52979,962,2001-02-07
53488,222,2000-11-15
53518,464,2001-02-06
53617,837,2001-02-16
53938,1877,2001-01-26
54249,37,2001-02-27
54256,1475,2001-01-21
54362,318,2001-02-22
54454,214,2000-12-14
54522,273,2001-01-22
54584,1889,2001-01-16
54591,534,2000-12-17
55024,239,2001-01-22
55079,1080,2001-02-05
55130,64,2001-02-22
55291,167,2001-02-24
55406,3150,2001-01-30
55444,649,2001-01-30
56106,985,2001-02-21
56144,1345,2000-11-20
56168,1561,2001-01-19
56243,1493,2000-11-05
56540,2578,2001-02-12
56564,894,2001-02-12
56588,297,2000-11-10
56595,763,2001-02-25
56601,1019,2001-02-20
56915,66,2001-02-24
56922,499,2001-02-24
57011,656,2001-02-26
57028,1129,2001-02-28
57127,952,2001-01-23
57141,1785,2001-02-13
57172,5522,2001-01-13
57271,1348,2001-02-15
57288,151,2000-12-07
57486,737,2001-02-28
57493,362,2001-01-22
57509,298,2001-02-23
57547,19,2000-12-15
57615,3648,2001-02-24
57677,77,2001-02-07
57707,181,2001-02-21
57738,126,2001-02-24
57783,420,2000-12-17
57806,458,2001-02-06
57851,26,2001-02-22
57882,754,2001-02-24
58032,776,2001-01-06
58148,230,2001-02-07
58230,130,2001-02-14
58278,3009,2001-02-11
58452,114,2000-12-11
58490,1098,2000-12-09
58537,26,2001-02-23
58551,830,2001-02-17
58568,26,2001-02-23
58698,1313,2001-02-28
58759,1623,2001-02-20
58766,358,2000-12-12
58773,1159,2001-01-21
58780,1679,2001-02-23
58827,2244,2001-02-13
58865,2533,2001-01-20
59138,378,2001-02-25
59152,232,2000-12-15
59206,886,2000-12-25
59282,274,2001-02-27
59343,305,2001-02-24
59398,380,2001-02-28
59411,187,2001-02-03
59497,1056,2001-01-19
59527,2831,2001-02-13
59725,364,2001-02-23
59831,425,2001-02-13
59848,196,2000-11-12
59992,198,2001-02-22
60172,1043,2001-02-07
60264,1911,2000-12-20
60400,2444,2000-11-10
60554,1127,2001-02-25
60592,977,2000-11-06
60615,359,2001-02-28
60776,333,2000-11-04
61681,814,2001-02-12
61704,75,2001-02-20
61728,1718,2001-02-28
61742,492,2001-02-16
61766,331,2001-01-07
61773,107,2000-12-26
62107,80,2000-12-16
62299,574,2000-12-26
62626,498,2001-02-07
62817,1287,2001-02-18
62824,184,2000-12-14
63111,1223,2001-01-19
63227,4536,2001-01-21
63326,954,2001-02-22
63449,455,2001-01-22
63890,1590,2001-02-25
64033,1598,2000-11-25
64156,890,2000-12-17
64170,226,2000-11-20
64217,852,2001-01-23
64439,9690,2001-01-14
64477,1106,2001-02-11
64637,1936,2001-02-18
64811,376,2001-02-17
64873,55,2001-02-11
64897,352,2001-01-07
65191,615,2001-02-19
65245,741,2001-02-27
65283,1710,2000-12-12
65818,79,2000-12-17
65931,820,2000-12-20
66020,25,2001-02-14
66037,658,2000-12-20
66211,3115,2001-01-21
66259,255,2001-02-25
66433,1270,2000-12-24
66495,181,2001-01-23
66594,658,2001-02-27
66662,38,2001-02-21
66693,1843,2001-02-12
66730,74,2000-12-25
66761,1272,2001-02-26
66860,227,2001-01-31
66921,1280,2001-02-26
67577,531,2001-02-27
67843,274,2000-11-12
67942,646,2001-02-07
68024,584,2001-02-22
68079,1949,2001-02-23
68086,194,2001-01-16
68192,1366,2000-12-10
68321,1434,2001-01-23
68383,1283,2001-02-13
68468,4378,2000-11-23
68543,1169,2001-02-25
68581,376,2000-12-23
68604,558,2001-02-22
68956,119,2001-01-22
69137,1873,2001-02-21
69908,211,2001-02-01
69946,339,2001-01-15
69953,2281,2001-02-25
70010,1153,2001-02-25
70102,515,2001-02-18
70195,1462,2001-01-27
70232,617,2001-02-16
70249,195,2001-02-15
70522,399,2001-02-13
70560,1569,2001-02-28
70584,1375,2001-02-24
70591,2823,2000-11-22
70607,1311,2001-02-23
70621,3905,2001-01-22
70669,201,2001-01-18
70775,761,2001-01-21
70799,541,2001-02-13
70805,110,2001-02-21
70928,534,2001-02-28
70973,944,2001-02-06
70980,327,2001-01-27
71062,229,2001-02-08
71093,133,2001-02-24
71178,422,2001-02-26
71284,699,2001-02-19
71345,641,2001-02-05
71390,264,2000-11-28
71987,3170,2001-02-04
72045,1989,2001-02-28
72083,3046,2001-01-28
72144,608,2001-01-13
72281,1441,2001-02-17
72304,2821,2001-02-11
72335,214,2000-12-14
72533,35,2001-01-22
72892,1550,2001-02-23
73011,2320,2001-02-25
73080,318,2001-01-02
73639,206,2000-11-19
73813,504,2001-02-09
73837,842,2001-02-04
73868,541,2001-02-27
74209,500,2001-02-06
74216,404,2001-01-20
74315,823,2000-12-02
74353,1202,2001-02-27
74377,588,2001-01-22
74438,853,2001-01-21
74445,125,2001-02-23
74469,421,2001-02-13
74520,2655,2001-02-20
74568,901,2001-02-25
74612,454,2001-02-17
74629,165,2001-02-27
74650,1033,2001-01-22
74674,300,2001-02-08
74681,676,2001-02-17
74704,1934,2000-11-19
74711,278,2001-02-26
74797,783,2001-02-26
74803,250,2000-12-07
74872,353,2000-11-10
74889,350,2001-02-06
74902,139,2001-02-27
74940,1442,2000-12-04
75008,426,2001-02-28
75091,1258,2001-01-07
75114,136,2000-12-15
75138,621,2001-01-20
75169,2510,2001-02-18
75275,130,2001-02-24
75305,291,2001-02-27
75343,130,2001-01-27
75367,706,2001-02-14
75374,423,2001-01-25
75404,337,2001-02-05
75435,493,2001-02-11
75459,1600,2001-02-25
75480,86,2001-02-01
75565,659,2001-01-12
75602,52,2001-02-21
75657,500,2001-02-15
75664,592,2001-02-12
75787,560,2001-01-13
75800,226,2001-02-15
75879,560,2001-02-16
75930,219,2001-02-17
75954,240,2001-02-28
75985,3501,2001-01-11
76036,1754,2000-12-24
76043,2669,2001-02-25
76050,2693,2001-01-18
76180,83,2001-02-24
76227,2296,2001-02-10
76319,107,2000-11-25
76357,26,2001-02-23
76371,1330,2001-02-11
76418,1950,2001-02-28
76623,155,2001-02-22
76630,76,2001-02-21
76647,3258,2001-01-01
76654,290,2001-02-20
77071,16,2000-12-25
77118,499,2001-02-18
77279,1599,2000-11-05
78436,476,2000-11-05
78641,526,2001-02-13
78771,859,2001-02-11
79495,259,2001-01-29
79709,100,2001-02-13
79792,966,2001-02-12
80026,296,2000-12-25
80057,293,2001-01-26
80613,513,2001-02-24
80644,256,2001-01-28
80729,639,2000-11-04
80842,966,2001-02-22
80897,299,2000-12-08
81054,292,2001-02-03
81108,721,2001-02-28
81122,700,2001-01-18
81214,626,2001-01-26
81252,66,2001-02-20
81269,184,2001-02-19
81344,2367,2000-11-28
81375,470,2001-02-22
81412,667,2001-02-28
81467,906,2000-12-03
81757,558,2001-02-14
81894,345,2001-02-08
81924,190,2001-02-21
81979,379,2001-01-31
81986,393,2001-01-19
82044,417,2001-02-09
82075,378,2000-12-28
82099,1588,2000-12-02
82174,174,2001-01-22
82228,2833,2001-02-23
82372,5992,2001-01-14
82389,250,2001-02-20
82426,356,2001-02-14
82464,441,2000-12-09
82488,636,2001-02-24
82723,891,2000-11-02
82990,1488,2001-02-20
83010,1663,2001-02-24
83089,354,2000-11-27
83096,1797,2001-01-22
83102,224,2001-02-21
83140,144,2001-02-20
83188,1196,2000-11-25
83201,16,2000-12-26
83249,59,2001-01-23
83355,3838,2001-01-25
83638,760,2001-02-19
83720,345,2000-12-31
83768,1535,2001-01-21
83775,195,2001-02-12
84185,337,2000-11-24
84208,279,2001-02-18
84253,888,2000-11-02
84277,339,2000-11-06
84307,1416,2001-01-30
84451,811,2001-02-08
84550,655,2000-11-23
84659,625,2001-02-25
84697,281,2001-02-11
84819,796,2001-01-21
85045,34,2000-12-03
85137,26,2001-02-22
85168,64,2001-02-22
85175,1221,2000-11-26
85229,459,2001-02-24
85267,1499,2001-02-23
85335,950,2001-01-21
85373,3674,2001-02-20
85434,1387,2001-01-19
85816,546,2001-02-04
86059,574,2001-02-06
86240,26,2001-02-21
86325,334,2001-01-18
86356,913,2001-02-17
86370,278,2001-02-24
86394,1524,2001-01-17
86400,628,2001-02-27
86806,24,2001-02-18
86882,70,2001-02-21
86981,690,2001-02-23
87001,26,2001-02-21
87018,500,2001-02-22
87049,1057,2001-02-28
87063,1816,2000-12-25
87162,1461,2001-02-27
87230,569,2000-12-14
87377,612,2001-02-28
87858,74,2000-12-25
88008,543,2001-02-28
88039,116,2001-02-21
88183,266,2001-02-28
88343,26,2001-02-21
88404,838,2000-12-03
88435,390,2001-02-25
88442,3224,2001-02-10
88541,26,2001-02-21
88848,200,2001-02-22
88954,1410,2001-02-03
89081,787,2001-02-02
89203,284,2001-02-21
89319,3081,2000-12-10
89418,121,2001-02-22
89456,18,2000-11-25
89470,98,2001-02-25
89517,78,2001-02-06
89562,138,2001-02-16
89609,1762,2001-01-21
89685,456,2000-12-18
89708,503,2001-02-27
89715,239,2001-01-29
89739,1085,2001-02-26
89951,2128,2001-02-17
89975,931,2000-12-13
89982,110,2001-02-09
90131,690,2001-01-06
90629,342,2001-02-28
90643,7479,2001-02-28
90940,469,2001-02-05
91022,129,2001-01-01
91138,265,2000-11-25
91206,264,2001-02-28
91343,1321,2001-02-26
91473,594,2001-02-14
91480,735,2001-02-22
91497,244,2001-02-16
91527,110,2001-01-06
91626,206,2000-12-13
91763,124,2000-12-27
92043,279,2001-02-23
93842,311,2001-02-06
94542,348,2001-01-19
94832,538,2001-02-18
94931,139,2001-02-03
95013,257,2000-11-20
95112,2640,2001-02-12
95334,453,2001-01-15
95341,579,2001-01-13
95365,1702,2001-02-11
95518,776,2000-11-20
95549,652,2001-02-03
95563,98,2001-01-06
95693,179,2000-12-13
95808,1112,2001-02-08
95877,342,2001-02-08
95907,707,2001-02-26
95921,2004,2000-11-12
96232,138,2001-02-18
96348,193,2001-01-31
96508,3057,2001-02-10
96874,90,2001-01-12
97079,599,2001-01-23
97093,634,2001-02-22
97178,1982,2000-12-22
97215,192,2000-11-07
97390,56,2000-12-24
97420,1116,2001-02-28
97666,2477,2001-01-31
98137,168,2001-02-09
98274,534,2001-02-09
98328,569,2000-12-22
98380,496,2000-12-03
98441,8857,2000-12-23
98779,119,2001-01-18
98823,1500,2001-01-23
98946,547,2001-02-25
99004,2131,2001-01-18
99080,26,2001-02-21
99202,460,2001-02-15
99295,764,2001-01-16
99394,2466,2001-01-14
99417,988,2000-12-30
99448,167,2001-02-06
99509,1041,2000-12-22
99653,347,2001-02-04
99721,124,2001-02-24
99790,407,2001-02-26
99813,1853,2001-02-24
99851,1093,2001-01-07
100021,238,2001-02-25
100120,639,2001-01-28
100144,184,2001-02-07
100175,185,2000-12-23
100199,610,2001-02-06
100236,1643,2001-02-11
100410,1189,2000-11-05
100465,433,2001-02-23
100496,333,2000-12-18
100519,845,2000-11-02
100588,25,2001-02-23
100625,1438,2000-11-12
100786,213,2001-02-18
100854,300,2000-12-23
100861,398,2001-02-20
100915,938,2001-01-27
100946,1610,2000-12-11
100960,26,2001-02-23
100991,1631,2000-11-12
101042,359,2001-02-24
101066,898,2001-01-22
101172,140,2001-01-22
101332,1804,2001-01-21
101585,212,2000-12-31
101868,198,2001-01-21
101981,578,2001-02-24
101998,613,2001-02-21
102032,1645,2001-02-24
102070,757,2001-02-08
102100,18,2001-02-24
102131,189,2000-12-14
102216,88,2001-02-27
102292,247,2001-02-23
102308,64,2001-02-20
102438,977,2001-02-10
102537,266,2000-12-23
102599,1424,2001-02-25
102650,1076,2001-01-28
102674,695,2001-01-20
102728,3673,2001-02-21
102803,5306,2001-02-25
103015,583,2001-02-19
103046,1751,2001-02-08
103053,1610,2001-02-25
103060,1082,2001-02-10
103077,1413,2001-02-20
103114,2023,2000-12-17
103176,401,2001-02-08
103220,285,2001-02-10
103251,379,2000-11-11
103305,354,2001-01-22
103350,643,2001-02-21
103374,340,2001-01-31
103442,154,2000-12-19
103541,563,2001-01-22
103565,149,2001-01-20
103589,132,2001-01-02
103619,1220,2001-01-15
103718,20,2001-02-26
103763,251,2001-02-19
103800,253,2001-02-28
104036,26,2001-02-19
104043,541,2001-02-03
104111,185,2001-02-19
104395,244,2000-11-26
104418,343,2001-01-12
104470,416,2001-02-04
105002,110,2001-02-27
105286,237,2001-02-25
105347,580,2001-02-12
105408,4036,2001-01-02
106276,118,2001-02-25
106412,193,2001-02-20
106672,49,2001-02-27
106849,496,2001-02-23
107334,354,2001-02-14
107426,815,2000-12-08
107587,64,2001-02-23
107655,403,2001-02-18
107679,795,2001-01-29
107839,955,2001-02-20
107976,275,2001-02-23
108300,234,2001-02-11
108447,79,2000-12-02
108782,1827,2001-02-18
108843,26,2001-02-21
108973,56,2001-02-17
109567,598,2001-01-05
109598,598,2001-01-05
109628,342,2001-02-22
109697,2592,2000-12-15
110839,2566,2000-12-17
110860,489,2001-02-10
110969,476,2001-02-22
110990,394,2001-02-28
111089,1033,2001-01-17
111508,525,2001-02-17
111683,1274,2001-01-07
112642,963,2001-01-13
112796,1452,2001-02-03
112826,2469,2001-02-03
112857,1263,2001-01-07
113151,1107,2001-02-28
113267,562,2001-01-29
113397,880,2000-12-31
113724,1846,2000-11-27
114295,3427,2001-02-28
115810,2388,2001-02-15
116121,758,2001-01-31
116169,1014,2001-02-08
116206,964,2000-12-25
116350,622,2001-02-23
116633,2538,2000-12-20
116756,1165,2001-01-19
116770,521,2001-02-24
116893,482,2001-02-25
116947,451,2001-02-24
116985,390,2001-02-16
117029,460,2001-01-25
117173,1544,2001-02-24
117227,224,2001-02-01
117364,1018,2001-02-28
117586,569,2001-02-22
117593,646,2001-01-03
117968,1509,2001-02-28
118118,288,2001-02-17
118170,591,2001-02-26
118194,295,2000-11-18
118200,408,2001-01-20
118668,285,2000-12-07
118712,718,2000-12-22
118743,4082,2001-02-05
118798,488,2001-02-28
118811,267,2001-02-19
118910,1704,2001-01-04
118996,196,2001-01-29
119047,16,2000-12-25
119115,16,2000-12-25
119221,100,2001-01-19
119252,187,2000-11-28
119283,360,2001-02-26
119559,119,2000-11-25
119627,958,2001-02-10
119634,1093,2001-02-23
119672,534,2000-11-27
119733,2581,2001-02-04
119757,18,2001-02-25
119924,1566,2001-01-20
119979,26,2001-02-19
120005,139,2001-02-26
120111,652,2001-01-21
120258,691,2001-02-19
120319,481,2000-12-11
120494,1602,2001-01-21
120586,1964,2001-01-29
121026,593,2001-01-22
121118,217,2001-01-27
121156,700,2000-12-10
121354,220,2001-02-25
121460,394,2000-12-17
121514,439,2001-02-21
122764,2602,2000-11-06
123075,152,2001-02-09
123143,450,2001-02-25
123167,258,2001-02-25
123808,3983,2001-02-10
124058,882,2001-02-04
124164,116,2000-12-14
124218,334,2001-01-21
124515,322,2001-01-09
125192,1037,2001-02-28
126076,497,2000-12-19
126502,1574,2000-12-25
126663,723,2001-02-25
126809,743,2001-01-04
127028,1307,2000-11-30
127233,2740,2000-11-11
127332,415,2001-02-15
127677,209,2000-11-19
127936,2391,2001-01-19
127967,643,2001-01-13
128087,5862,2001-02-11
128469,474,2001-02-21
128506,269,2001-02-17
128513,219,2001-02-20
128537,38,2001-02-23
128575,406,2001-01-23
128582,79,2001-01-31
128612,183,2001-02-01
128797,701,2001-02-28
128902,326,2001-02-28
128971,190,2001-01-16
129145,446,2001-01-14
129183,412,2000-11-02
129473,1652,2000-12-16
129732,1030,2001-02-23
130219,4121,2001-02-23
130714,1876,2000-12-25
130769,664,2000-11-14
131018,64,2001-02-22
131353,1829,2001-01-13
131780,403,2001-02-08
131841,622,2001-02-19
131865,124,2000-11-19
131872,827,2001-02-28
132251,2303,2001-02-17
132367,758,2001-02-21
132756,1604,2001-02-19
132831,88,2001-01-11
132855,99,2001-01-23
132916,315,2000-12-12
133227,2907,2001-02-26
133265,2725,2001-01-04
133609,198,2001-02-10
133821,823,2001-02-05
134026,1189,2000-12-17
134088,154,2000-12-03
134224,9568,2001-01-21
134521,2493,2000-12-06
134637,153,2001-01-01
134897,547,2001-01-25
134941,225,2001-02-27
135153,199,2001-02-10
135221,904,2000-12-17
135344,999,2001-02-10
135375,98,2000-11-10
135436,558,2001-01-22
135474,799,2001-01-03
135627,606,2001-02-16
135672,129,2001-02-01
135788,1082,2001-02-18
135801,35,2001-01-20
135894,179,2000-12-09
136013,125,2001-01-18
136051,198,2001-02-28
136099,320,2001-02-17
136112,472,2000-12-26
136136,2147,2001-01-23
136143,543,2001-02-24
136174,4600,2001-02-25
136198,391,2001-02-12
136235,272,2001-02-24
136273,261,2001-02-25
136303,408,2001-02-26
136334,231,2001-02-23
136389,874,2001-01-20
136396,3373,2000-12-02
136471,422,2001-02-28
136754,138,2001-02-16
136761,1722,2001-01-01
136822,2511,2001-02-22
136860,488,2001-02-17
136952,341,2000-11-25
136983,143,2001-01-27
137027,387,2001-02-21
137072,604,2001-02-15
137102,2547,2000-12-09
137232,2188,2001-02-17
137881,228,2000-12-01
137928,901,2001-02-25
138123,2603,2001-02-22
138130,1829,2001-01-20
138352,244,2001-01-01
138499,1667,2001-02-18
